OS;Numerator;Scene;Accel;Integrator;Seconds;Time
2;12;2;1;0;307;00:05:07
2;13;3;1;2;393;00:06:33
2;14;4;2;2;13;00:00:13
2;15;1;2;1;172;00:02:52
2;16;1;2;0;800;00:13:20
2;17;1;0;0;711;00:11:51
2;18;3;1;0;273;00:04:33
2;19;2;1;2;85;00:01:25
2;20;4;1;0;157;00:02:37
2;21;4;0;0;157;00:02:37
2;22;4;0;1;4;00:00:04
2;23;3;0;2;392;00:06:32
2;24;3;2;0;374;00:06:14
2;25;1;2;2;822;00:13:42
2;26;3;2;1;374;00:06:14
2;27;3;1;1;272;00:04:32
2;28;1;1;2;746;00:12:26
2;29;1;1;1;143;00:02:23
2;30;2;0;0;308;00:05:08
2;31;2;1;1;54;00:00:54
2;32;4;1;2;9;00:00:09
2;33;1;0;2;744;00:12:24
2;34;2;0;2;85;00:01:25
2;35;3;0;1;272;00:04:32
2;36;2;2;0;370;00:06:10
3;1;4;0;2;29;00:00:29
3;2;1;1;1;538;00:08:58
3;3;4;2;0;598;00:09:58
3;4;4;1;2;27;00:00:27
3;5;2;2;2;314;00:05:14
3;6;2;0;0;648;00:10:48
3;7;3;0;2;1197;00:19:57
3;8;3;1;0;891;00:14:51
3;9;1;2;2;3215;00:53:35
3;10;4;2;2;35;00:00:35
3;11;4;0;0;493;00:08:13
3;12;1;2;1;620;00:10:20
3;13;1;2;0;2620;00:43:40
3;14;4;2;1;16;00:00:16
3;15;1;0;2;2384;00:39:44
3;16;2;2;0;810;00:13:30
3;17;3;0;0;800;00:13:20
3;18;3;1;1;808;00:13:28
3;19;4;1;1;13;00:00:13
3;20;4;0;1;13;00:00:13
3;21;3;2;0;1041;00:17:21
3;22;3;2;1;1040;00:17:20
3;23;2;0;1;141;00:02:21
3;24;3;0;1;809;00:13:29
3;25;1;0;1;506;00:08:26
3;26;1;1;0;2299;00:38:19
3;27;2;2;1;210;00:03:30
3;28;1;1;2;2356;00:39:16
3;29;1;0;0;2274;00:37:54
3;30;2;0;2;222;00:03:42
3;31;3;1;2;1162;00:19:22
3;32;2;1;0;637;00:10:37
3;33;2;1;2;223;00:03:43
3;34;2;1;1;141;00:02:21
3;35;4;1;0;498;00:08:18
3;36;3;2;2;1368;00:22:48
5;1;3;1;2;615;00:10:15
5;2;1;0;0;1248;00:20:48
5;3;4;2;2;21;00:00:21
5;4;1;2;0;1447;00:24:07
5;5;3;2;2;751;00:12:31
5;6;1;1;0;1243;00:20:43
5;7;4;1;2;14;00:00:14
5;8;2;0;0;479;00:07:59
5;9;1;2;1;293;00:04:53
5;10;1;1;1;227;00:03:47
5;11;3;0;2;620;00:10:20
5;12;4;1;1;7;00:00:07
5;13;1;0;2;1278;00:21:18
5;14;2;2;2;194;00:03:14
5;15;1;2;2;1459;00:24:19
5;16;4;0;1;6;00:00:06
5;17;4;1;0;263;00:04:23
5;18;3;1;0;434;00:07:14
5;19;2;0;1;81;00:01:21
5;20;2;2;0;615;00:10:15
5;21;2;1;2;126;00:02:06
5;22;4;0;2;14;00:00:14
5;23;2;1;1;81;00:01:21
5;24;4;0;0;261;00:04:21
5;25;2;2;1;136;00:02:16
5;26;3;2;0;611;00:10:11
5;27;1;0;1;227;00:03:47
5;28;2;0;2;126;00:02:06
5;29;3;0;1;434;00:07:14
5;30;2;1;0;480;00:08:00
5;31;1;1;2;1270;00:21:10
5;32;3;2;1;615;00:10:15
5;33;3;0;0;433;00:07:13
5;34;4;2;1;10;00:00:10
5;35;3;1;1;436;00:07:16
5;36;4;2;0;337;00:05:37
